Symbol,Fundamental,Technical,Sentimental,Rating
A,33,82,60,56
AAPL,62,98,66,92
ABBV,22,95,39,45
ABNB,26,19,88,26
ABT,66,48,19,52
ACGL,83,31,39,64
ADBE,91,35,89,92
ADI,29,48,5,13
ADM,78,46,39,68
ADP,56,54,62,61
ADSK,31,76,13,33
AEE,14,58,39,18
AEP,21,78,93,55
AES,8,44,84,21
AFL,45,68,39,51
AIG,70,56,39,65
AIZ,61,83,39,75
AJG,10,59,39,14
AKAM,49,11,39,25
ALB,16,83,77,47
ALGN,52,21,39,32
ALL,73,66,63,86
ALLE,59,90,63,86
AMAT,89,91,88,100
AMCR,55,2,39,26
AMD,4,97,65,39
AME,78,42,39,65
AMGN,39,73,17,40
AMP,79,36,10,55
AMT,12,26,5,2
AMZN,33,62,59,44
ANET,40,92,76,73
AON,45,49,21,34
AOS,96,35,39,81
APA,98,67,81,98
APD,39,23,39,22
APH,36,90,81,69
APO,28,26,92,32
APP,25,100,72,62
APTV,78,72,39,85
ARE,15,30,70,14
ATO,54,84,39,66
AVB,58,18,39,35
AVGO,39,96,83,77
AVY,77,19,39,54
AWK,20,35,39,10
AXON,1,55,91,24
AXP,60,75,39,67
BA,6,52,90,27
BAC,72,58,91,90
BALL,28,8,22,3
BAX,33,3,60,11
BBY,80,46,18,62
BDX,53,47,39,47
BEN,32,26,4,5
BF-B,42,1,95,32
BG,46,22,12,17
BIIB,95,68,39,93
BK,85,82,97,99
BKNG,19,34,68,20
BKR,82,74,8,77
BLDR,53,24,11,26
BLK,63,91,39,82
BMY,88,12,84,77
BR,96,28,20,67
BRK-B,89,74,10,86
BRO,25,32,61,22
BSX,24,23,39,7
BX,29,42,1,8
BXP,35,23,9,6
C,60,77,64,81
CAG,50,7,39,23
CAH,63,76,39,71
CARR,63,6,59,41
CAT,76,100,9,87
CB,83,64,83,95
CBOE,41,61,4,31
CBRE,4,60,73,23
CCI,34,39,98,47
CCL,99,34,92,96
CDNS,7,79,15,13
CDW,28,16,39,7
CEG,26,96,98,70
CF,100,41,89,96
CFG,93,72,39,94
CHD,23,15,97,25
CHRW,49,82,39,62
CHTR,64,41,97,75
CI,51,63,97,76
CINF,70,78,39,81
CL,94,3,71,71
CLX,97,21,39,73
CMCSA,100,5,91,87
CME,70,53,71,78
CMG,42,10,96,38
CMI,91,100,39,97
CMS,17,39,58,16
CNC,38,27,91,41
CNP,24,48,39,22
COF,19,53,21,12
COIN,69,98,77,96
COO,13,27,77,13
COP,92,17,76,81
COR,22,79,99,58
CPAY,49,19,39,28
CPB,19,3,16,2
CPRT,37,4,13,4
CPT,21,9,89,15
CRL,52,72,1,46
CRM,50,51,14,37
